2022-07-18 08:09:27.403 CST,"postgres","postgres",109374,"127.0.0.1:55058",62d4a4b7.1ab3e,1,"BEGIN",2022-07-18 08:09:27 CST,3/10134,0,WARNING,25001,"there is already a transaction in progress",,,,,,,,,"dbt"
2022-07-18 08:09:27.419 CST,"postgres","postgres",109374,"127.0.0.1:55058",62d4a4b7.1ab3e,2,"BEGIN",2022-07-18 08:09:27 CST,3/10135,0,WARNING,25001,"there is already a transaction in progress",,,,,,,,,"dbt"
2022-07-18 08:09:27.481 CST,"postgres","postgres",109379,"127.0.0.1:55060",62d4a4b7.1ab43,1,"BEGIN",2022-07-18 08:09:27 CST,3/10137,0,WARNING,25001,"there is already a transaction in progress",,,,,,,,,"dbt"
2022-07-18 08:10:00.699 CST,"postgres","postgres",109439,"127.0.0.1:55062",62d4a4d8.1ab7f,1,"BEGIN",2022-07-18 08:10:00 CST,3/10140,0,WARNING,25001,"there is already a transaction in progress",,,,,,,,,"dbt"
2022-07-18 08:10:00.788 CST,"postgres","postgres",109440,"127.0.0.1:55064",62d4a4d8.1ab80,1,"BEGIN",2022-07-18 08:10:00 CST,3/10143,0,WARNING,25001,"there is already a transaction in progress",,,,,,,,,"dbt"
2022-07-18 08:10:01.030 CST,"postgres","postgres",109441,"127.0.0.1:55066",62d4a4d9.1ab81,1,"BEGIN",2022-07-18 08:10:01 CST,3/10146,0,WARNING,25001,"there is already a transaction in progress",,,,,,,,,"dbt"
2022-07-18 08:10:03.372 CST,"postgres","postgres",109475,"127.0.0.1:55068",62d4a4db.1aba3,1,"BEGIN",2022-07-18 08:10:03 CST,3/10149,0,WARNING,25001,"there is already a transaction in progress",,,,,,,,,"dbt"
2022-07-18 08:10:03.508 CST,"postgres","postgres",109476,"127.0.0.1:55070",62d4a4db.1aba4,1,"BEGIN",2022-07-18 08:10:03 CST,3/10152,0,WARNING,25001,"there is already a transaction in progress",,,,,,,,,"dbt"
2022-07-18 08:10:03.641 CST,"postgres","postgres",109477,"127.0.0.1:55072",62d4a4db.1aba5,1,"BEGIN",2022-07-18 08:10:03 CST,3/10155,0,WARNING,25001,"there is already a transaction in progress",,,,,,,,,"dbt"
2022-07-18 08:10:03.731 CST,"postgres","postgres",109478,"127.0.0.1:55074",62d4a4db.1aba6,1,"BEGIN",2022-07-18 08:10:03 CST,3/10158,0,WARNING,25001,"there is already a transaction in progress",,,,,,,,,"dbt"
2022-07-18 08:10:03.936 CST,"postgres","postgres",109479,"127.0.0.1:55076",62d4a4db.1aba7,1,"BEGIN",2022-07-18 08:10:03 CST,3/10161,0,WARNING,25001,"there is already a transaction in progress",,,,,,,,,"dbt"
2022-07-18 08:10:04.143 CST,"postgres","postgres",109481,"127.0.0.1:55078",62d4a4dc.1aba9,1,"BEGIN",2022-07-18 08:10:04 CST,3/10164,0,WARNING,25001,"there is already a transaction in progress",,,,,,,,,"dbt"
2022-07-18 08:10:04.298 CST,"postgres","postgres",109482,"127.0.0.1:55080",62d4a4dc.1abaa,1,"BEGIN",2022-07-18 08:10:04 CST,3/10167,0,WARNING,25001,"there is already a transaction in progress",,,,,,,,,"dbt"
2022-07-18 08:10:04.456 CST,"postgres","postgres",109483,"127.0.0.1:55082",62d4a4dc.1abab,1,"BEGIN",2022-07-18 08:10:04 CST,3/10170,0,WARNING,25001,"there is already a transaction in progress",,,,,,,,,"dbt"
2022-07-18 08:10:05.352 CST,"postgres","postgres",109486,"127.0.0.1:55084",62d4a4dd.1abae,1,"BEGIN",2022-07-18 08:10:05 CST,3/10173,0,WARNING,25001,"there is already a transaction in progress",,,,,,,,,"dbt"
2022-07-18 08:10:05.423 CST,"postgres","postgres",109487,"127.0.0.1:55086",62d4a4dd.1abaf,1,"BEGIN",2022-07-18 08:10:05 CST,3/10176,0,WARNING,25001,"there is already a transaction in progress",,,,,,,,,"dbt"
